track,artist,year,month,streams,date
Shorty Party,"Cartel De Santa, La Kelly",2023,3,61245289,2023-03
Super,SEVENTEEN,2023,4,61105704,2023-04
Double Fantasy (with Future),"The Weeknd, Future",2023,4,60350538,2023-04
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2023,4,58890931,2023-04
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2023,2,58473276,2023-02
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2023,4,58255150,2023-04
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",2023,2,58149378,2023-02
Mami Chula,"Quevedo, Jhayco",2023,4,57945987,2023-04
Set Me Free Pt.2,Jimin,2023,3,57876440,2023-03
Don't ever say love me (feat. RM of BTS),"RM, Colde",2023,5,57312735,2023-05
Like Crazy (English Version),Jimin,2023,3,57089066,2023-03
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2023,2,56533272,2023-02
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",2023,3,55842345,2023-03
People Pt.2 (feat. IU),"IU, Agust D",2023,4,54266102,2023-04
REMIX EXCLUSIVO,Feid,2023,3,54225632,2023-03
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2023,3,52722996,2023-03
DOGTOOTH,"Tyler, The Creator",2023,3,52294266,2023-03
SORRY NOT SORRY,"Tyler, The Creator",2023,3,52135248,2023-03
HAPPY,NF,2023,3,51985779,2023-03
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2023,3,50847624,2023-03
VOID,Melanie Martinez,2023,3,47956378,2023-03
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2023,3,46142772,2023-03
If We Ever Broke Up,Mae Stephens,2023,2,46065667,2023-02
Peaches (from The Super Mario Bros. Movie),Jack Black,2023,4,43857627,2023-04
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2023,2,43522589,2023-02
on the street (with J. Cole),"j-hope, J. Cole",2023,3,39893489,2023-03
Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,2023,3,39709092,2023-03
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,2023,3,39666245,2023-03
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",2023,2,39578178,2023-02
Everything I Love,Morgan Wallen,2023,1,39228929,2023-01
Heaven,Niall Horan,2023,2,39058561,2023-02
Sial,Mahalini,2023,1,37126685,2023-01
I Wrote The Book,Morgan Wallen,2023,1,36912123,2023-01
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2023,3,34502215,2023-03
Red Ruby Da Sleeze,Nicki Minaj,2023,3,34450974,2023-03
PERO Tï¿,"Karol G, Quevedo",2023,2,32761689,2023-02
ýýý98 Braves,Morgan Wallen,2023,3,32526947,2023-03
WANDA,Quevedo,2023,1,31873544,2023-01
Love Again,The Kid Laroi,2023,1,30546883,2023-01
Born With A Beer In My Hand,Morgan Wallen,2023,3,30343206,2023-03
Devil Donï¿½ï¿½ï¿½,Morgan Wallen,2023,3,29562220,2023-03
LLYLM,ROSALï¿½,2023,1,24975653,2023-01
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",2023,1,22581161,2023-01
TRUSTFALL,P!nk,2023,1,16011326,2023-01
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2023,1,14780425,2023-01
Muï¿½ï¿½,"Steve Aoki, Tini, La Joaqui",2023,1,11956641,2023-01
Sugar Rush Ride,TOMORROW X TOGETHER,2023,1,11599388,2023-01
